scientific_name,overwinteringStage,voltinism,diurnality,notes.x,onsetProblems,offsetProblems,overwintering.stage.y,voltinism.y,notes.y,WikiName,OrigSyn,Syn,validName
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Itame epigenata Barnes & McDunnough, 1917",Itame epigenata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Thera bitactata Walker, 1862",Thera bitactata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Halia packardaria Möschler, 1883",Halia packardaria,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Heterophleps atrosignata Walker, 1862",Heterophleps atrosignata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Itame epigenata Barnes & McDunnough, 1917",Itame epigenata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Thera bitactata Walker, 1862",Thera bitactata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Halia packardaria Möschler, 1883",Halia packardaria,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Heterophleps atrosignata Walker, 1862",Heterophleps atrosignata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Itame epigenata Barnes & McDunnough, 1917",Itame epigenata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Thera bitactata Walker, 1862",Thera bitactata,Speranza bitactata
Catocala californica,E,U,N,NA,NA,NA,NA,NA,NA,Catocala californica,"Catocala mariana Strecker, 1874 (preocc. Catocala mariana Rambur, 1858)",Catocala mariana,Catocala californica
Catocala californica,E,U,N,NA,NA,NA,NA,NA,NA,Catocala californica,"Catocala erichi Brower, 1976",Catocala erichi,Catocala californica
Catocala californica,E,U,N,NA,NA,NA,NA,NA,NA,Catocala californica,"Catocala edwardsi Kusnezov, 1903",Catocala edwardsi,Catocala californica
Catocala californica,E,U,N,NA,NA,NA,NA,NA,NA,Catocala californica,"Catocala elizabeth Cass, 1918",Catocala elizabeth,Catocala californica
Catocala californica,E,U,N,NA,NA,NA,NA,NA,NA,Catocala californica,"Catocala eldoradensis Beutenmueller, 1907",Catocala eldoradensis,Catocala californica
Catocala grotiana,E,U,N,NA,NA,NA,NA,NA,NA,Catocala grotiana,"Catocala georgeana Beutenmueller, 1918",Catocala georgeana,Catocala grotiana
Catocala grotiana,E,U,N,NA,NA,NA,NA,NA,NA,Catocala grotiana, Catocala groteiana ,Catocala grotiana,Catocala grotiana
Crambidia cephalica,,M,N,NA,NA,NA,NA,NA,NA,Crambidia cephalica,"Lithosia cephalica Grote & Robinson, 1870",Lithosia cephalica,Crambidia cephalica
Digrammia curvata,,,N,NA,NA,NA,NA,NA,NA,Digrammia curvata,"Phasiane cruciata  Grote, 1880",Phasiane cruciata,Digrammia curvata
Digrammia curvata,,,N,NA,NA,NA,NA,NA,NA,Digrammia curvata,"Phasiane curvata  Grote, 1883",Phasiane curvata,Digrammia curvata
Eupithecia anticaria,,,N,NA,NA,NA,NA,NA,NA,Eupithecia anticaria,"Eupithecia explanata Walker, 1862",Eupithecia explanata,Eupithecia anticaria
Eurois praefixa,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurois praefixa
Hesperumia sulphuraria,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hesperumia sulphuraria
Litholomia napaea,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Litholomia napaea
Pero behrensaria,P,U,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pero behrensaria
Amorbia humerosana,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amorbia humerosana
Anarta crotchii,,,N,NA,NA,NA,NA,NA,NA,Anarta crotchii,"Anarta chunka  (Smith, 1910)",Anarta chunka,Anarta crotchii
Apamea inficita,,,N,,N,,NA,NA,NA,Apamea inficita,Agroperina inficita ,Agroperina inficita,Apamea inficita
Apamea inficita,,,N,,N,,NA,NA,NA,Apamea inficita," Apamea popofensis (Smith, 1900)",Apamea popofensis,Apamea inficita
Apamea inficita,,,N,,N,,NA,NA,NA,Apamea inficita," Apamea conradi (Grote, 1879)",Apamea conradi,Apamea inficita
Apamea inficita,,,N,,N,,NA,NA,NA,Apamea inficita, Graphiphora inficita ,Graphiphora inficita,Apamea inficita
Apamea inficita,,,N,,N,,NA,NA,NA,Apamea inficita, Orthosia belangeri ,Orthosia belangeri,Apamea inficita
Caripeta aequaliaria,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caripeta aequaliaria
Digrammia neptaria,,F,N,NA,NA,NA,NA,NA,NA,Digrammia neptaria,"Panagra flavofasciata  Packard, 1871",Panagra flavofasciata,Digrammia neptaria
Digrammia neptaria,,F,N,NA,NA,NA,NA,NA,NA,Digrammia neptaria,"Phasiane cinereata  Bates, 1886",Phasiane cinereata,Digrammia neptaria
Digrammia neptaria,,F,N,NA,NA,NA,NA,NA,NA,Digrammia neptaria,"Phasiane sinuata  Packard, 1874",Phasiane sinuata,Digrammia neptaria
Digrammia neptaria,,F,N,NA,NA,NA,NA,NA,NA,Digrammia neptaria,"Phasiane trifasciata  Packard, 1874",Phasiane trifasciata,Digrammia neptaria
Digrammia neptaria,,F,N,NA,NA,NA,NA,NA,NA,Digrammia neptaria,"Tephrina neptaria  Guenée in Boisduval and Guenée, 1858",Tephrina neptaria,Digrammia neptaria
Euproctis inepta,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euproctis inepta
Holomelina fragilis,,U,N,NA,NA,NA,NA,NA,NA,Virbia fragilis,"Crocota fragilis Strecker, 1878",Crocota fragilis,Virbia fragilis
Holomelina fragilis,,U,N,NA,NA,NA,NA,NA,NA,Virbia fragilis,Holomelina fragilis,Holomelina fragilis,Virbia fragilis
Holomelina fragilis,,U,N,NA,NA,NA,NA,NA,NA,Virbia fragilis,Virbia fragilis,Virbia fragilis,Virbia fragilis
Prochoerodes forficaria,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prochoerodes forficaria
Sphinx vashti,P,U,N,NA,NA,NA,NA,NA,NA,Sphinx vashti,"Hyloicus gerhardi Barnes & Benjamin, 1924",Hyloicus gerhardi,Sphinx vashti
Sphinx vashti,P,U,N,NA,NA,NA,NA,NA,NA,Sphinx vashti,"Sphinx albescens Tepper, 1881",Sphinx albescens,Sphinx vashti
Sphinx vashti,P,U,N,NA,NA,NA,NA,NA,NA,Sphinx vashti,"Sphinx mordecai McDunnough, 1923",Sphinx mordecai,Sphinx vashti
Digrammia excurvata,,,N,NA,NA,NA,NA,NA,NA,Digrammia excurvata,"Phasiane excurvata  Packard, 1874",Phasiane excurvata,Digrammia excurvata
Digrammia excurvata,,,N,NA,NA,NA,NA,NA,NA,Digrammia excurvata,"Sciagraphia spodopterata  Hulst, 1898",Sciagraphia spodopterata,Digrammia excurvata
Eulithis xylina,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eulithis xylina
Eupithecia niphadophilata,,,N,NA,NA,NA,NA,NA,NA,Eupithecia niphadophilata,"Tephroclystia niphadophilata Dyar, 1904",Tephroclystia niphadophilata,Eupithecia niphadophilata
Horisme intestinata,,M,N,NA,NA,NA,NA,NA,NA,Horisme intestinata,"Phibalapteryx intestinata Guenee, 1857",Phibalapteryx intestinata,Horisme intestinata
Horisme intestinata,,M,N,NA,NA,NA,NA,NA,NA,Horisme intestinata,"Phibalapteryx impleta Walker, 1866",Phibalapteryx,Horisme intestinata
Horisme intestinata,,M,N,NA,NA,NA,NA,NA,NA,Horisme intestinata,"Phibalapteryx indoctrinata Walker, 1863",Phibalapteryx,Horisme intestinata
Macaria aemulataria,,,N,NA,NA,NA,NA,NA,NA,Macaria aemulataria,"Macaria sectomaculata Morrison, 1874",Macaria sectomaculata,Macaria aemulataria
Macaria aemulataria,,,N,NA,NA,NA,NA,NA,NA,Macaria aemulataria,"Philobia perplexata Pearsall, 1913",Philobia perplexata,Macaria aemulataria
Macaria aemulataria,,,N,NA,NA,NA,NA,NA,NA,Macaria aemulataria,"Philobia versitata Pearsall, 1913",Philobia versitata,Macaria aemulataria
Macaria aemulataria,,,N,NA,NA,NA,NA,NA,NA,Macaria aemulataria,"Philobia aspirata Pearsall, 1913",Philobia aspirata,Macaria aemulataria
Macaria aemulataria,,,N,NA,NA,NA,NA,NA,NA,Macaria aemulataria,Semiothisa perplexata,Semiothisa perplexata,Macaria aemulataria
Macaria aemulataria,,,N,NA,NA,NA,NA,NA,NA,Macaria aemulataria,Semiothisa aspirata,Semiothisa aspirata,Macaria aemulataria
Macaria aemulataria,,,N,NA,NA,NA,NA,NA,NA,Macaria aemulataria,Semiothisa versitata,Semiothisa versitata,Macaria aemulataria
Macaria aemulataria,,,N,NA,NA,NA,NA,NA,NA,Macaria aemulataria,Semiothisa aemulataria,Semiothisa aemulataria,Macaria aemulataria
Marimatha nigrofimbria,,M,N,NA,NA,NA,NA,NA,NA,Marimatha nigrofimbria,"Xanthoptera nigrofimbria Guenée in Boisduval and Guenée, 1852",Xanthoptera nigrofimbria,Marimatha nigrofimbria
Marimatha nigrofimbria,,M,N,NA,NA,NA,NA,NA,NA,Marimatha nigrofimbria,"Thioptera nigrofimbria (Guenée, 1852)",Thioptera nigrofimbria,Marimatha nigrofimbria
