Year,id_cells,MAT,bio4,MAP,bio15
1943,4,20.56764706,157.4018181,157.1117647,0.875141468
1944,4,20.76911765,155.8997738,159.4926471,1.02205879
1945,4,21.0254902,132.7488892,135.052451,0.978021821
1946,4,20.73382353,139.5034796,115.8681373,0.909387416
1947,4,20.50784314,132.5800439,156.3289216,0.767433625
1948,4,20.58480392,127.876646,150.8102941,0.968398761
1949,4,20.8754902,129.4612468,134.0328431,1.079520138
1950,4,20.33872549,152.3789852,130.1352941,0.847842131
1951,4,21.29117647,148.288536,142.6887255,1.046578556
1952,4,21.40098039,124.7296268,156.1598039,0.90808516
1953,4,21.51519608,144.218191,158.2156863,1.058848223
1954,4,20.87303922,144.4498703,179.9843137,0.977372176
1955,4,20.94509804,148.644826,163.1710784,1.098480295
1956,4,20.74460784,143.742498,149.7637255,1.015210613
1957,4,21.29068627,137.4661307,128.8068627,1.036434975
1958,4,21.61323529,156.3919708,169.6965686,0.977723703
1959,4,21.34607843,126.8948698,144.197549,0.964069393
1960,4,21.14656863,127.02168,178.8539216,0.985376366
1961,4,21.23137255,138.2388007,153.5995098,0.85782083
1962,4,20.96764706,147.8011585,148.8558824,0.989859673
1963,4,20.9122549,156.0919983,154.4666667,1.004808328
1964,4,21.12696078,153.7039847,147.1279412,0.950001146
1965,4,21.1377451,137.4135207,140.3303922,0.986901929
1966,4,21.13431373,156.3070421,146.2455882,0.924549265
1967,4,20.92990196,130.5681958,126.5676471,0.942928732
1968,4,20.88284314,158.6323019,151.3710784,1.021509766
1969,4,21.46568627,164.8469086,178.5230392,1.061516617
1970,4,21.31862745,147.8946412,142.6264706,1.048550357
1971,4,21.22794118,105.2454318,133.2985294,0.95289757
1972,4,21.7627451,117.3353068,121.3313725,0.888804741
1973,4,22.27941176,133.1098476,158.647549,1.039046516
1974,4,21.65637255,118.4790618,130.6176471,1.009059946
1975,4,21.90784314,141.8904466,131.5647059,0.940627083
1976,4,21.6877451,157.1304721,118.9372549,0.953369522
1977,4,21.99607843,122.5095893,116.0544118,0.976111735
1978,4,21.98431373,147.1879163,141.6009804,0.950403236
1979,4,22.04852941,150.520173,147.2862745,0.961844046
1980,4,21.83480392,161.6222024,140.4651961,0.902479012
1981,4,21.51372549,151.9611317,167.7289216,0.950040595
1982,4,21.84313725,144.4073268,135.195098,0.953609417
1983,4,21.8,162.5448903,138.8441176,0.967264065
1984,4,21.53970588,136.0005027,170.8367647,1.076169085
1985,4,21.49803922,141.2145081,141.4936275,0.972058591
1986,4,21.66176471,148.5705579,112.8607843,0.900843656
1987,4,21.91960784,154.9162369,113.9833333,1.030579919
1988,4,21.39705882,143.9553874,149.7333333,0.996808196
1989,4,21.58529412,139.8901691,141.2068627,1.007473757
1990,4,21.60441176,132.5192387,139.8857843,0.922274824
1991,4,21.80294118,148.6198897,130.9053922,0.787571487
1992,4,21.86029412,137.2939189,128.2348039,0.948640897
1993,4,21.71078431,138.5390605,130.3294118,1.074523717
1994,4,21.80686275,154.0612511,140.2519608,0.784100519
1995,4,21.61029412,135.7216105,186.9504902,0.924878417
1996,4,21.1627451,137.3197903,155.2230392,0.755307226
1997,4,21.70637255,126.3102266,133.397549,0.762655079
1998,4,22.1745098,169.4401977,141.4651961,0.956450295
1999,4,21.325,171.2927143,134.2578431,1.079636608
2000,4,21.40392157,133.46941,132.0014706,0.985372314
2001,4,21.61421569,133.1452456,110.7166667,0.863010668
2002,4,21.55245098,124.1989235,143.4642157,0.936225768
2003,4,21.95980392,175.9984216,156.5666667,0.752492681
2004,4,21.66176471,134.6249796,145.8759804,0.89627447
2005,4,22.15686275,150.2880959,167.6289216,0.962668191
2006,4,22.25147059,125.8914356,125.2813725,0.843241787
2007,4,22.40098039,132.8346888,129.4612745,1.011403163
2008,4,22.12598039,140.8309082,142.4911765,1.0071328
2009,4,22.48431373,141.9162067,115.6843137,0.908652252
2010,4,22.52941176,188.8008304,163.554902,1.064119411
1900,5,22.93295455,153.9363866,250.9651515,0.599854942
1901,5,22.46515152,172.9614998,229.3518939,0.83124076
1902,5,22.57954545,154.1200706,194.8704545,0.884198546
1903,5,22.27727273,162.8453178,229.6393939,0.723347632
1904,5,21.90984848,139.7294947,264.7064394,0.625634547
1905,5,22.45151515,198.9529604,208.4386364,0.607442556
1906,5,22.40113636,173.509447,238.605303,0.706625926
1907,5,22.05606061,151.7893536,198.2200758,0.757337764
1908,5,22.3719697,166.8635413,231.117803,0.807602427
1909,5,22.95643939,189.6721605,248.1397727,0.893683236
1910,5,21.39090909,190.3998733,221.9299242,0.770462356
1911,5,22.73295455,145.4973391,238.1962121,0.714061046
1912,5,23.11477273,182.5665913,207.8041667,0.706314114
1913,5,22.59734848,94.78092013,251.4810606,0.474260744
1914,5,22.37234848,179.1441252,182.1829545,0.666151772
1915,5,22.19469697,207.293379,232.2208333,0.764141669
1916,5,23.12727273,157.5073283,246.5439394,0.713736298
1917,5,22.7780303,168.8982689,236.1125,0.798108758
1918,5,22.77272727,133.3953841,199.2378788,0.808335439
1919,5,22.76704545,142.2164843,208.4435606,0.753664238
1920,5,22.74090909,157.1811364,199.7215909,0.74663201
1921,5,22.07083333,155.3563032,241.9299242,0.742404346
1922,5,22.23636364,138.6607166,233.1768939,0.648288135
1923,5,22.19015152,152.3406731,196.8424242,0.823264319
1924,5,22.20189394,154.0310864,254.6318182,0.754711854
1925,5,22.26666667,152.1478893,229.9905303,0.678623044
1926,5,22.9375,167.3685514,229.0939394,0.795781868
1927,5,22.71477273,157.4874655,220.6170455,0.680844646
1928,5,22.91174242,154.5896962,224.8541667,0.707139741
1929,5,22.83598485,136.5312061,244.5,0.799322163
1930,5,22.72348485,160.6087654,216.2765152,0.703975646
1931,5,20.93333333,154.0594331,254.6564394,0.766522256
1932,5,20.98560606,156.9998532,234.5318182,0.769624307
1933,5,21.05681818,168.1631128,277.6981061,0.884168194
1934,5,21.24810606,158.7647886,223.8670455,0.619243917
1935,5,21.09810606,195.8540911,188.5579545,0.751200914
1936,5,21.47272727,135.1803131,242.1458333,0.73878045
1937,5,21.29583333,145.8512213,268.6996212,0.662305418
1938,5,20.76969697,157.1986179,251.4537879,0.709844879
1939,5,21.01515152,148.1763434,227.0208333,0.850739324
1940,5,20.82045455,179.6195635,224.1590909,0.845002407
1941,5,21.04356061,174.6889343,235.6318182,0.692432059
1942,5,21.62083333,195.3785526,257.6689394,0.733787728
1943,5,21.37765152,175.9055276,212.5310606,0.632176804
1944,5,21.73560606,182.1215084,193.4208333,0.793466789
1945,5,22.06098485,153.3150443,213.3738636,0.857489652
1946,5,21.32159091,151.5151855,216.8306818,0.712888683
1947,5,21.21704545,155.10072,256.7117424,0.680173064
1948,5,20.97386364,140.9076108,222.0681818,0.723716781
1949,5,20.9594697,170.5659977,154.8992424,0.925947498
